COSMIC_ID,CCLE_Name,DRUG_ID,DRUG_NAME,LN_IC50
909907,ZR7530_BREAST,1003,Camptothecin,2.824561
909907,ZR7530_BREAST,1004,Vinblastine,2.247699
909907,ZR7530_BREAST,1005,Cisplatin,6.461361
909907,ZR7530_BREAST,1006,Cytarabine,4.863325
909907,ZR7530_BREAST,1007,Docetaxel,-1.042408
909907,ZR7530_BREAST,1008,Methotrexate,4.140704
909907,ZR7530_BREAST,1010,Gefitinib,5.263526
909907,ZR7530_BREAST,1011,Navitoclax,5.557596
909907,ZR7530_BREAST,1012,Vorinostat,3.636889
909907,ZR7530_BREAST,1013,Nilotinib,2.086747
909907,ZR7530_BREAST,1014,Refametinib,5.193305
909907,ZR7530_BREAST,1016,Temsirolimus,1.930275
909907,ZR7530_BREAST,1017,Olaparib,5.944279
909907,ZR7530_BREAST,1018,Veliparib,6.189043
909907,ZR7530_BREAST,1019,Bosutinib,5.400951
909907,ZR7530_BREAST,1020,Lenalidomide,6.843033
909907,ZR7530_BREAST,1021,Axitinib,4.784977
909907,ZR7530_BREAST,1022,AZD7762,6.314794
909907,ZR7530_BREAST,1024,Lestaurtinib,2.387352
909907,ZR7530_BREAST,1026,Tanespimycin,0.892776
909907,ZR7530_BREAST,1029,Motesanib,7.059548
909907,ZR7530_BREAST,1032,Afatinib,-1.759182
909907,ZR7530_BREAST,1033,Vismodegib,6.681825
909907,ZR7530_BREAST,1042,Doramapimod,5.467907
909907,ZR7530_BREAST,1051,Alisertib,6.389333
909907,ZR7530_BREAST,1053,MK-2206,2.888257
909907,ZR7530_BREAST,1054,Palbociclib,5.343123
909907,ZR7530_BREAST,1057,Dactolisib,1.3141
909907,ZR7530_BREAST,1058,Pictilisib,2.639197
909907,ZR7530_BREAST,1059,AZD8055,1.07834
909907,ZR7530_BREAST,1060,PD0325901,6.357212
909907,ZR7530_BREAST,1062,Selumetinib,6.82773
909907,ZR7530_BREAST,1068,Obatoclax Mesylate,3.140547
909907,ZR7530_BREAST,1072,Avagacestat,6.538342
909907,ZR7530_BREAST,1073,5-Fluorouracil,7.18055
909907,ZR7530_BREAST,1079,Dasatinib,4.357993
909907,ZR7530_BREAST,1080,Paclitaxel,0.514481
909907,ZR7530_BREAST,1083,Crizotinib,5.294379
909907,ZR7530_BREAST,1085,Sorafenib,2.0787
909907,ZR7530_BREAST,1086,BI-2536,3.780359
909907,ZR7530_BREAST,1088,Irinotecan,7.244809
909907,ZR7530_BREAST,1089,Oxaliplatin,6.402088
