COSMIC_ID,CCLE_Name,DRUG_ID,DRUG_NAME,LN_IC50,Resistance_Cut-Off
909907,ZR7530_BREAST,1003,Camptothecin,2.824561,Low
909907,ZR7530_BREAST,1004,Vinblastine,2.247699,Low
909907,ZR7530_BREAST,1005,Cisplatin,6.461361,High
909907,ZR7530_BREAST,1006,Cytarabine,4.863325,High
909907,ZR7530_BREAST,1007,Docetaxel,-1.042408,Low
909907,ZR7530_BREAST,1008,Methotrexate,4.140704,High
909907,ZR7530_BREAST,1010,Gefitinib,5.263526,High
909907,ZR7530_BREAST,1011,Navitoclax,5.557596,High
909907,ZR7530_BREAST,1012,Vorinostat,3.636889,Low
909907,ZR7530_BREAST,1013,Nilotinib,2.086747,Low
909907,ZR7530_BREAST,1014,Refametinib,5.193305,High
909907,ZR7530_BREAST,1016,Temsirolimus,1.930275,Low
909907,ZR7530_BREAST,1017,Olaparib,5.944279,High
909907,ZR7530_BREAST,1018,Veliparib,6.189043,High
909907,ZR7530_BREAST,1019,Bosutinib,5.400951,High
909907,ZR7530_BREAST,1020,Lenalidomide,6.843033,High
909907,ZR7530_BREAST,1021,Axitinib,4.784977,High
909907,ZR7530_BREAST,1022,AZD7762,6.314794,High
909907,ZR7530_BREAST,1023,GW441756,4.053955,High
909907,ZR7530_BREAST,1024,Lestaurtinib,2.387352,Low
909907,ZR7530_BREAST,1025,SB216763,7.268306,High
909907,ZR7530_BREAST,1026,Tanespimycin,0.892776,Low
909907,ZR7530_BREAST,1029,Motesanib,7.059548,High
909907,ZR7530_BREAST,1030,KU-55933,7.636061,High
909907,ZR7530_BREAST,1032,Afatinib,-1.759182,Low
909907,ZR7530_BREAST,1033,Vismodegib,6.681825,High
909907,ZR7530_BREAST,1036,PLX-4720,5.373143,High
909907,ZR7530_BREAST,1038,NU7441,4.992081,High
909907,ZR7530_BREAST,1042,Doramapimod,5.467907,High
909907,ZR7530_BREAST,1043,JNK Inhibitor VIII,6.6821,High
909907,ZR7530_BREAST,1046,Wee1 Inhibitor,5.950289,High
909907,ZR7530_BREAST,1047,Nutlin-3a (-),5.802718,High
909907,ZR7530_BREAST,1049,PD173074,6.320247,High
909907,ZR7530_BREAST,1050,ZM447439,4.513331,High
909907,ZR7530_BREAST,1051,Alisertib,6.389333,High
909907,ZR7530_BREAST,1053,MK-2206,2.888257,Low
909907,ZR7530_BREAST,1054,Palbociclib,5.343123,High
909907,ZR7530_BREAST,1057,Dactolisib,1.3141,Low
909907,ZR7530_BREAST,1058,Pictilisib,2.639197,Low
909907,ZR7530_BREAST,1059,AZD8055,1.07834,Low
909907,ZR7530_BREAST,1060,PD0325901,6.357212,High
909907,ZR7530_BREAST,1062,Selumetinib,6.82773,High
909907,ZR7530_BREAST,1067,CCT007093,6.848447,High
909907,ZR7530_BREAST,1068,Obatoclax Mesylate,3.140547,Low
909907,ZR7530_BREAST,1069,EHT-1864,3.998486,High
909907,ZR7530_BREAST,1072,Avagacestat,6.538342,High
909907,ZR7530_BREAST,1073,5-Fluorouracil,7.18055,High
909907,ZR7530_BREAST,1079,Dasatinib,4.357993,High
909907,ZR7530_BREAST,1080,Paclitaxel,0.514481,Low
909907,ZR7530_BREAST,1083,Crizotinib,5.294379,High
909907,ZR7530_BREAST,1085,Sorafenib,2.0787,Low
909907,ZR7530_BREAST,1086,BI-2536,3.780359,High
909907,ZR7530_BREAST,1088,Irinotecan,7.244809,High
909907,ZR7530_BREAST,1089,Oxaliplatin,6.402088,High
909907,ZR7530_BREAST,1093,GSK1904529A,6.229512,High
909907,ZR7530_BREAST,1096,Tozasertib,6.813873,High
909907,ZR7530_BREAST,1129,PF-4708671,3.210851,Low
909907,ZR7530_BREAST,1131,PRIMA-1MET,3.49343,Low
909907,ZR7530_BREAST,1133,Serdemetan,3.783249,High
909907,ZR7530_BREAST,1149,TW 37,3.420391,Low
909907,ZR7530_BREAST,1168,Erlotinib,4.924159,High
909907,ZR7530_BREAST,1175,Rucaparib,6.105988,High
909907,ZR7530_BREAST,1177,Niraparib,4.903914,High
909907,ZR7530_BREAST,1179,MK-1775,4.903579,High
909907,ZR7530_BREAST,1180,Dinaciclib,0.831295,Low
909907,ZR7530_BREAST,1190,Gemcitabine,4.822032,High
909907,ZR7530_BREAST,1191,Bortezomib,-1.555503,Low
909907,ZR7530_BREAST,1192,GSK269962A,2.917767,Low
909907,ZR7530_BREAST,1199,Tamoxifen,5.438431,High
909907,ZR7530_BREAST,1200,Fulvestrant,3.438381,Low
909907,ZR7530_BREAST,1237,EPZ004777,6.365307,High
909907,ZR7530_BREAST,1239,YK-4-279,6.490983,High
909907,ZR7530_BREAST,1248,Daporinad,0.894435,Low
909907,ZR7530_BREAST,1249,BMS-345541,5.71176,High
909907,ZR7530_BREAST,1250,AZ960,6.005403,High
909907,ZR7530_BREAST,1372,Trametinib,5.661711,High
909907,ZR7530_BREAST,1373,Dabrafenib,7.319807,High
909907,ZR7530_BREAST,1375,Temozolomide,7.641896,High
909907,ZR7530_BREAST,1378,Bleomycin (50 uM),7.375324,High
909907,ZR7530_BREAST,1494,SN-38,-0.057708,Low
909907,ZR7530_BREAST,1507,Ruxolitinib,5.561883,High
909907,ZR7530_BREAST,1510,Linsitinib,5.46808,High
909907,ZR7530_BREAST,1511,Epirubicin,2.9391,Low
909907,ZR7530_BREAST,1512,Cyclophosphamide,6.133383,High
909907,ZR7530_BREAST,1529,Pevonedistat,6.99129,High
909907,ZR7530_BREAST,1549,Sapitinib,1.174176,Low
909907,ZR7530_BREAST,1553,Uprosertib,3.914798,High
909907,ZR7530_BREAST,1557,LCL161,6.918924,High
909907,ZR7530_BREAST,1558,Lapatinib,-0.128198,Low
909907,ZR7530_BREAST,1560,Alpelisib,2.925281,Low
909907,ZR7530_BREAST,1561,Taselisib,1.825085,Low
909907,ZR7530_BREAST,1563,EPZ5676,6.154241,High
909907,ZR7530_BREAST,1564,SCH772984,6.746342,High
909907,ZR7530_BREAST,1576,IWP-2,4.079518,High
909907,ZR7530_BREAST,1578,Leflunomide,5.995815,High
909907,ZR7530_BREAST,1593,Entinostat,4.819361,High
909907,ZR7530_BREAST,1598,LGK974,3.64742,Low
909907,ZR7530_BREAST,1613,VE-822,6.164822,High
909907,ZR7530_BREAST,1614,WZ4003,5.870738,High
909907,ZR7530_BREAST,1615,CZC24832,6.088337,High
909907,ZR7530_BREAST,1617,AZD5582,2.32519,Low
909907,ZR7530_BREAST,1618,GSK2606414,4.128439,High
909907,ZR7530_BREAST,1620,PFI3,6.682962,High
909907,ZR7530_BREAST,1621,PCI-34051,6.434643,High
909907,ZR7530_BREAST,1622,Wnt-C59,6.460248,High
909907,ZR7530_BREAST,1624,I-BET-762,6.767435,High
909907,ZR7530_BREAST,1626,OTX015,6.480411,High
909907,ZR7530_BREAST,1627,GSK343,2.798761,Low
909907,ZR7530_BREAST,1629,ML323,4.449225,High
909907,ZR7530_BREAST,1630,Entospletinib,5.021202,High
909907,ZR7530_BREAST,1631,PRT062607,5.764964,High
909907,ZR7530_BREAST,1632,Ribociclib,4.649531,High
909907,ZR7530_BREAST,1634,AGI-6780,5.380703,High
909907,ZR7530_BREAST,1635,Picolinici-acid,4.680471,High
909907,ZR7530_BREAST,1786,AZD4547,4.509609,High
909907,ZR7530_BREAST,1799,Ibrutinib,2.752301,Low
909907,ZR7530_BREAST,1849,Sabutoclax,2.021195,Low
909907,ZR7530_BREAST,1852,LY2109761,6.81797,High
909907,ZR7530_BREAST,1853,OF-1,4.730861,High
909907,ZR7530_BREAST,1854,MN-64,6.162396,High
909907,ZR7530_BREAST,1855,KRAS (G12C) Inhibitor-12,7.337858,High
909907,ZR7530_BREAST,1862,MG-132,0.90302,Low
909907,ZR7530_BREAST,1909,Venetoclax,5.24149,High
909907,ZR7530_BREAST,1910,ABT737,3.740726,Low
909907,ZR7530_BREAST,1912,Afuresertib,3.316931,Low
909907,ZR7530_BREAST,1913,AGI-5198,6.404763,High
909907,ZR7530_BREAST,1915,AZD3759,4.051452,High
909907,ZR7530_BREAST,1917,AZD6738,5.241693,High
909907,ZR7530_BREAST,1918,AZD8186,3.979235,High
909907,ZR7530_BREAST,1919,Osimertinib,-0.370895,Low
909907,ZR7530_BREAST,1922,Cediranib,5.806623,High
909907,ZR7530_BREAST,1924,Ipatasertib,4.98169,High
909907,ZR7530_BREAST,1925,GDC0810,6.098536,High
909907,ZR7530_BREAST,1926,GNE-317,2.119091,Low
909907,ZR7530_BREAST,1927,GSK2578215A,6.645647,High
909907,ZR7530_BREAST,1928,I-BRD9,5.838637,High
909907,ZR7530_BREAST,1930,Telomerase Inhibitor IX,3.050474,Low
909907,ZR7530_BREAST,1931,MIRA-1,5.918259,High
909907,ZR7530_BREAST,1932,NVP-ADW742,5.14764,High
909907,ZR7530_BREAST,1933,P22077,7.043682,High
909907,ZR7530_BREAST,1936,Savolitinib,4.435297,High
909907,ZR7530_BREAST,1939,UMI-77,6.053443,High
909907,ZR7530_BREAST,1940,WIKI4,6.836985,High
909907,ZR7530_BREAST,1941,Sepantronium bromide,-0.643951,Low
909907,ZR7530_BREAST,1997,WEHI-539,5.763054,High
909907,ZR7530_BREAST,2040,Foretinib,3.488451,Low
909907,ZR7530_BREAST,2043,BIBR-1532,5.869485,High
909907,ZR7530_BREAST,2044,Pyridostatin,4.829488,High
909907,ZR7530_BREAST,2045,AMG-319,6.504184,High
909907,ZR7530_BREAST,2046,MK-8776,5.818486,High
909907,ZR7530_BREAST,2048,Vinorelbine,1.944143,Low
909907,ZR7530_BREAST,2096,VX-11e,4.11817,High
909907,ZR7530_BREAST,2106,Uprosertib,2.978849,Low
909907,ZR7530_BREAST,2107,LJI308,6.73636,High
909907,ZR7530_BREAST,2110,GSK591,5.891059,High
909907,ZR7530_BREAST,2111,VE821,7.074833,High
909907,ZR7530_BREAST,2169,AZD6482,5.825014,High
909907,ZR7530_BREAST,2172,JQ1,4.139253,High
909907,ZR7530_BREAST,2173,PFI-1,6.40038,High
909907,ZR7530_BREAST,2177,SGC0946,3.904823,High
909907,ZR7530_BREAST,2359,GSK2830371,6.967681,High
1290798,EFM192A_BREAST,1003,Camptothecin,1.555769,Low
1290798,EFM192A_BREAST,1004,Vinblastine,1.203306,Low
